code,m_number,opendate,o_code,o_codename,d_o_code,d_o_codename,closedate,op_days,area,address,r_address,address_gu,name,type,t_area,status
3020000,3020000-104-2011-00048,2011-03-24,3,폐업,2,폐업,2014-03-12,1084,6.6,서울특별시 용산구 효창동 5-54번지 (지상1층) ,"서울특별시 용산구 효창원로 145 (효창동,(지상1층))",용산구,훼미리마트,편의점,6.6,1
3020000,3020000-104-2011-00052,2011-03-31,3,폐업,2,폐업,2014-10-27,1306,3.3,서울특별시 용산구 한강로1가 50-1번지 용산파크자이D8호(지상1층) ,"서울특별시 용산구 한강대로 205 (한강로1가,용산파크자이D8호(지상1층))",용산구,훼미리마트,편의점,3.3,1
3020000,3020000-104-2011-00055,2011-04-04,3,폐업,2,폐업,2013-11-26,967,10,서울특별시 용산구 청파동3가 114-3번지 (지상1층) ,,용산구,훼미리마트,편의점,10,1
3020000,3020000-104-2013-00052,2013-07-12,3,폐업,2,폐업,2019-10-29,2300,6,서울특별시 용산구 한강로2가 2-8번지 ,"서울특별시 용산구 한강대로43길 8, 2층 201호 (한강로2가)",용산구,CU,편의점,6,1
3020000,3020000-104-2011-00124,2011-10-13,3,폐업,2,폐업,2016-01-05,1545,3.3,서울특별시 용산구 보광동 217-18번지 (지상1층) ,"서울특별시 용산구 장문로19길 10 (보광동,(지상1층))",용산구,CU,편의점,3.3,1
3020000,3020000-104-2017-00135,2017-09-29,3,폐업,2,폐업,2018-08-08,313,6,서울특별시 용산구 서빙고동 199-7번지 1층 ,"서울특별시 용산구 서빙고로51길 10, 1층 (서빙고동)",용산구,GS25,편의점,6,1
3020000,3020000-104-2010-00076,2010-09-06,3,폐업,2,폐업,2014-05-12,1344,26.5,서울특별시 용산구 이태원동 243-39번지 (지상1층) ,"서울특별시 용산구 회나무로44가길 2 (이태원동,(지상1층))",용산구,GS25,편의점,26.5,1
3020000,3020000-104-2011-00132,2011-11-18,3,폐업,2,폐업,2015-01-16,1155,6.6,서울특별시 용산구 갈월동 66번지 (지상1층) ,"서울특별시 용산구 한강대로 304 (갈월동, 지상1층)",용산구,CU,편의점,6.6,1
3020000,3020000-104-2017-00136,2017-10-11,3,폐업,2,폐업,2021-11-30,1511,3.3,서울특별시 용산구 서계동 221-10 1층 ,"서울특별시 용산구 만리재로 198, 1층 (서계동)",용산구,세븐일레븐,편의점,3.3,1
3020000,3020000-104-2017-00141,2017-10-19,3,폐업,2,폐업,2020-08-18,1034,3.3,서울특별시 용산구 한강로1가 196-1 1층 ,"서울특별시 용산구 한강대로62나길 2, 1층 (한강로1가)",용산구,GS25,편의점,3.3,1
3020000,3020000-104-1994-02329,1994-05-25,3,폐업,2,폐업,2002-04-26,2893,11,서울특별시 용산구 보광동 259-1번지 ,,용산구,GS25,편의점,11,1
3020000,3020000-104-1994-02331,1994-06-07,3,폐업,2,폐업,1997-10-24,1235,10.94,서울특별시 용산구 이태원동 226-3번지 ,,용산구,세븐일레븐,편의점,10.94,1
3020000,3020000-104-1995-02337,1995-05-30,3,폐업,2,폐업,2000-02-22,1729,8.5,서울특별시 용산구 이태원동 728-2번지 ,,용산구,기타,편의점,8.5,1
3020000,3020000-104-1995-02338,1995-11-13,3,폐업,2,폐업,2008-01-02,4433,4,서울특별시 용산구 한남동 64-1번지 ,,용산구,CU,편의점,4,1
3020000,3020000-104-1994-03073,1994-12-12,3,폐업,2,폐업,2006-05-24,4181,9.2,서울특별시 용산구 동자동 43-54번지 43-55 ,,용산구,세븐일레븐,편의점,9.2,1
3020000,3020000-104-1995-02334,1995-02-04,3,폐업,2,폐업,1998-06-30,1242,28.14,서울특별시 용산구 청파동3가 111-9번지 ,,용산구,미니스톱,편의점,28.14,1
3020000,3020000-104-2017-00167,2017-12-12,3,폐업,2,폐업,2021-12-06,1455,6.6,서울특별시 용산구 이태원동 258-227 1층 ,"서울특별시 용산구 회나무로13가길 57, 1층 (이태원동)",용산구,이마트24,편의점,6.6,1
3020000,3020000-104-2017-00040,2017-03-30,3,폐업,2,폐업,2017-08-31,154,6,서울특별시 용산구 서계동 221-10번지 ,"서울특별시 용산구 만리재로 198, 1층 (서계동)",용산구,세븐일레븐,편의점,6,1
3020000,3020000-104-2011-00087,2011-07-06,3,폐업,2,폐업,2012-07-24,384,3.3,서울특별시 용산구 청파동3가 80-7번지 (지상1층) ,,용산구,훼미리마트,편의점,3.3,1
3020000,3020000-104-2003-00005,2003-01-16,3,폐업,2,폐업,2012-12-28,3634,6.27,서울특별시 용산구 한남동 657-176번지 ,,용산구,세븐일레븐,편의점,6.27,1
3020000,3020000-104-2017-00032,2017-03-08,3,폐업,2,폐업,2021-07-30,1605,6,서울특별시 용산구 용산동2가 36 ,"서울특별시 용산구 신흥로7길 34, 1층 (용산동2가)",용산구,GS25,편의점,6,1
3020000,3020000-104-2017-00030,2017-03-07,3,폐업,2,폐업,2019-03-18,741,56.2,서울특별시 용산구 후암동 105-124번지 ,"서울특별시 용산구 후암로 23-1, 1층 (후암동)",용산구,GS25,편의점,56.2,1
3020000,3020000-104-2000-07568,2000-12-04,3,폐업,2,폐업,2012-12-10,4389,8.25,서울특별시 용산구 후암동 440-0번지 ,,용산구,미니스톱,편의점,8.25,1
3020000,3020000-104-2011-00060,2011-04-20,3,폐업,2,폐업,2016-09-01,1961,6.6,서울특별시 용산구 후암동 259-9번지 (지상1층)101호 ,"서울특별시 용산구 두텁바위로 75 (후암동,(지상1층)101호)",용산구,CU,편의점,6.6,1
3020000,3020000-104-1993-02355,1993-10-13,3,폐업,2,폐업,1997-10-24,1472,4.96,서울특별시 용산구 남영동 61-4번지 ,,용산구,훼미리마트,편의점,4.96,1
3020000,3020000-104-1993-02356,1993-10-20,3,폐업,2,폐업,1997-10-24,1465,16.19,서울특별시 용산구 이태원동 136-45번지 ,,용산구,미니스톱,편의점,16.19,1
3020000,3020000-104-1999-02011,1999-08-26,3,폐업,2,폐업,2000-10-16,417,3,서울특별시 용산구 용산동2가 44-19번지 ,,용산구,세븐일레븐,편의점,3,1
3020000,3020000-104-1993-02379,1993-08-12,3,폐업,2,폐업,1996-11-22,1198,13.6,서울특별시 용산구 한남동 631-5번지 ,,용산구,세븐일레븐,편의점,13.6,1
3020000,3020000-104-1993-02380,1993-08-12,3,폐업,2,폐업,1996-11-14,1190,6.3,서울특별시 용산구 보광동 488-0번지 ,,용산구,세븐일레븐,편의점,6.3,1
3020000,3020000-104-1993-02382,1993-08-20,3,폐업,2,폐업,1996-06-26,1041,4.65,서울특별시 용산구 동자동 19-40번지 ,,용산구,훼미리마트,편의점,4.65,1
3020000,3020000-104-1993-02345,1993-08-28,3,폐업,2,폐업,1997-10-24,1518,5.52,서울특별시 용산구 이태원동 658-0번지 ,,용산구,기타,편의점,5.52,1
3020000,3020000-104-1993-02346,1993-08-28,3,폐업,2,폐업,2000-02-22,2369,9.2,서울특별시 용산구 이촌동 300-19번지 ,,용산구,기타,편의점,9.2,1
3020000,3020000-104-1993-02347,1993-08-28,3,폐업,2,폐업,1997-07-25,1427,7.29,서울특별시 용산구 동자동 43-121번지 ,,용산구,훼미리마트,편의점,7.29,1
3020000,3020000-104-2001-07775,2001-02-06,3,폐업,2,폐업,2004-08-06,1277,,서울특별시 용산구 한남동 686-42번지 ,,용산구,세븐일레븐,편의점,0,1
3020000,3020000-104-1999-02244,1999-10-19,3,폐업,2,폐업,2002-04-11,905,5.32,서울특별시 용산구 원효로4가 118-16번지 ,,용산구,기타,편의점,5.32,1
3020000,3020000-104-2003-00018,2003-03-14,3,폐업,2,폐업,2008-09-12,2009,,"서울특별시 용산구 동자동 14-93번지 (101, 102) ",,용산구,세븐일레븐,편의점,0,1
3020000,3020000-104-1999-07220,1999-11-12,3,폐업,2,폐업,2011-03-11,4137,8.6,서울특별시 용산구 한남동 631-5번지 ,,용산구,세븐일레븐,편의점,8.6,1
3020000,3020000-104-1999-07231,1999-11-24,3,폐업,2,폐업,2018-07-13,6806,7.83,서울특별시 용산구 한남동 737-24번지 ,서울특별시 용산구 이태원로 223 (한남동),용산구,미니스톱,편의점,7.83,1
3020000,3020000-104-1993-02354,1993-09-18,3,폐업,2,폐업,1996-12-24,1193,52,서울특별시 용산구 이촌동 301-160번지 ,,용산구,훼미리마트,편의점,52,1
3020000,3020000-104-1993-02353,1993-09-11,3,폐업,2,폐업,1998-07-01,1754,13.76,서울특별시 용산구 갈월동 59-4번지 ,,용산구,훼미리마트,편의점,13.76,1
3020000,3020000-104-2003-00004,2003-01-16,3,폐업,2,폐업,2006-05-24,1224,4.95,서울특별시 용산구 이촌동 300-19번지 외 1필지 ,,용산구,세븐일레븐,편의점,4.95,1
3020000,3020000-104-1993-02359,1993-12-04,3,폐업,2,폐업,1998-09-22,1753,54.12,서울특별시 용산구 한남동 686-42번지 ,,용산구,세븐일레븐,편의점,54.12,1
3020000,3020000-104-2006-00032,2006-09-26,3,폐업,2,폐업,2010-09-03,1438,26.4,서울특별시 용산구 갈월동 93-30번지 지상1층 ,,용산구,세븐일레븐,편의점,26.4,1
3020000,3020000-104-1998-02312,1998-06-16,3,폐업,2,폐업,2001-03-22,1010,3.25,서울특별시 용산구 한남동 64-1번지 ,,용산구,기타,편의점,3.25,1
3020000,3020000-104-2005-00035,2005-06-23,3,폐업,2,폐업,2007-01-29,585,10,서울특별시 용산구 한강로2가 346-1번지 외1필지 (지상1층) ,,용산구,미니스톱,편의점,10,1
3020000,3020000-104-2003-00006,2003-01-16,3,폐업,2,폐업,2004-06-02,503,4.29,서울특별시 용산구 이촌동 302-28번지 ,,용산구,세븐일레븐,편의점,4.29,1
3020000,3020000-104-2003-00008,2003-01-16,3,폐업,2,폐업,2008-08-25,2048,6,서울특별시 용산구 한강로3가 63-38번지 ,,용산구,세븐일레븐,편의점,6,1
3020000,3020000-104-1994-02362,1994-01-04,3,폐업,2,폐업,1998-10-19,1749,11.07,서울특별시 용산구 보광동 218-0번지 ,,용산구,기타,편의점,11.07,1
3020000,3020000-104-1993-02350,1993-09-01,3,폐업,2,폐업,1996-12-04,1190,6.25,서울특별시 용산구 한남동 657-111번지 ,,용산구,훼미리마트,편의점,6.25,1
3020000,3020000-104-1993-02349,1993-09-01,3,폐업,2,폐업,1997-06-21,1389,9,서울특별시 용산구 한남동 683-132번지 ,,용산구,훼미리마트,편의점,9,1
3020000,3020000-104-1993-02351,1993-09-04,3,폐업,2,폐업,1997-10-24,1511,17.48,서울특별시 용산구 한남동 64-1번지 ,,용산구,기타,편의점,17.48,1
